T_pre,T_post,ManufacturingTime,C_dia
288.750000,286.650000,65.731000,1.393034
288.750000,286.750000,64.903000,1.425446
288.750000,286.850000,64.083000,1.458028
288.750000,286.950000,63.270000,1.490797
288.750000,287.050000,62.466000,1.523682
288.750000,287.150000,61.670000,1.556698
288.750000,287.250000,60.883000,1.589803
288.750000,287.350000,60.105000,1.622980
288.750000,287.450000,59.336000,1.656213
288.750000,0.000000,14.534000,nan
288.750000,0.000000,14.534000,nan
288.850000,286.250000,68.926000,1.268212
288.850000,286.350000,68.068000,1.299840
288.850000,286.450000,67.217000,1.331706
288.850000,286.550000,66.373000,1.363802
288.850000,286.650000,65.536000,1.396119
288.850000,286.750000,64.707000,1.428618
288.850000,286.850000,63.886000,1.461288
288.850000,286.950000,63.072000,1.494145
288.850000,287.050000,62.267000,1.527119
288.850000,287.150000,61.470000,1.560224
288.850000,287.250000,60.683000,1.593391
288.850000,287.350000,59.904000,1.626658
288.850000,287.450000,59.134000,1.659980
288.850000,0.000000,14.369000,nan
288.850000,0.000000,14.369000,nan
288.950000,286.250000,68.735000,1.270949
288.950000,286.350000,67.876000,1.302661
288.950000,286.450000,67.025000,1.334583
288.950000,286.550000,66.180000,1.366765
288.950000,286.650000,65.342000,1.399168
288.950000,286.750000,64.512000,1.431754
288.950000,286.850000,63.690000,1.464512
288.950000,286.950000,62.876000,1.497429
288.950000,287.050000,62.070000,1.530492
288.950000,287.150000,61.273000,1.563658
288.950000,287.250000,60.484000,1.596941
288.950000,287.350000,59.705000,1.630269
288.950000,287.450000,58.934000,1.663680
288.950000,0.000000,14.207000,nan
288.950000,0.000000,14.207000,nan
289.050000,286.250000,68.550000,1.273552
289.050000,286.350000,67.690000,1.305345
289.050000,286.450000,66.837000,1.337377
289.050000,286.550000,65.991000,1.369642
289.050000,286.650000,65.153000,1.402101
289.050000,286.750000,64.322000,1.434771
289.050000,286.850000,63.499000,1.467614
289.050000,286.950000,62.684000,1.500616
289.050000,287.050000,61.877000,1.533765
289.050000,287.150000,61.079000,1.567018
289.050000,287.250000,60.290000,1.600360
289.050000,287.350000,59.510000,1.633775
289.050000,287.450000,58.739000,1.667246
289.050000,0.000000,14.046000,nan
289.050000,0.000000,14.046000,nan
289.150000,286.250000,68.366000,1.276124
289.150000,286.350000,67.505000,1.307998
289.150000,286.450000,66.651000,1.340112
289.150000,286.550000,65.804000,1.372459
289.150000,286.650000,64.965000,1.405001
289.150000,286.750000,64.133000,1.437755
289.150000,286.850000,63.309000,1.470682
289.150000,286.950000,62.494000,1.503742
289.150000,287.050000,61.686000,1.536976
289.150000,287.150000,60.888000,1.570287
289.150000,287.250000,60.098000,1.603714
289.150000,287.350000,59.317000,1.637215
289.150000,287.450000,58.545000,1.670771
289.150000,0.000000,13.887000,nan
289.150000,0.000000,13.887000,nan
289.250000,286.250000,68.183000,1.278677
289.250000,286.350000,67.322000,1.310602
289.250000,286.450000,66.467000,1.342798
